level,level_name,field_of_study,academic_field,field_of_study_cleaned,academic_field_cleaned
bachelor,bachelor,"Bachelor of Arts (B.A.), Communication and Media Studies",media studies,bachelor of arts ba communication and media studies,media studies
bachelor,bachelor,"Bachelor of Arts (B.A.), Communications",,bachelor of arts ba communications,other
bachelor,bachelor,"Bachelor of Arts (B.A.), Computer Science",computer science,bachelor of arts ba computer science,computer science
bachelor,bachelor,"Bachelor of Arts (B.A.), Creative Writing and English double major with an Environmental Studies minor",,bachelor of arts ba creative writing and english double major with an environmental studies minor,creative writing
bachelor,bachelor,"Bachelor of Arts (B.A.), Double Major in Communication and Media Studies, Economics",media studies,bachelor of arts ba double major in communication and media studies economics,media studies
bachelor,bachelor,"Bachelor of Arts (B.A.), Economics",economics,bachelor of arts ba economics,economics
bachelor,bachelor,"Bachelor of Arts (B.A.), Economics, Chinese Studies, Philiosophy",,bachelor of arts ba economics chinese studies philiosophy,economics
bachelor,bachelor,"Bachelor of Arts (B.A.), Economics, Sociology",sociology,bachelor of arts ba economics sociology,sociology
bachelor,bachelor,"Bachelor of Arts (B.A.), English Language and Literature, General",,bachelor of arts ba english language and literature general,literature
bachelor,bachelor,"Bachelor of Arts (B.A.), English Literature (British and Commonwealth)",english literature,bachelor of arts ba english literature british and commonwealth,english literature
bachelor,bachelor,"Bachelor of Arts (B.A.), English Literature/Philosophy",,bachelor of arts ba english literaturephilosophy,english literature
bachelor,bachelor,"Bachelor of Arts (B.A.), Finance",finance,bachelor of arts ba finance,finance
bachelor,bachelor,"Bachelor of Arts (B.A.), French and German",,bachelor of arts ba french and german,other
bachelor,bachelor,"Bachelor of Arts (B.A.), International Studies",,bachelor of arts ba international studies,other
bachelor,bachelor,"Bachelor of Arts (B.A.), International Studies - Economics ",,bachelor of arts ba international studies economics,economics
bachelor,Bachelor,"Bachelor of Arts (B.A.), Law and Management Science",Law,bachelor of arts ba law and management science,law
bachelor,bachelor,"Bachelor of Arts (B.A.), Major in English, Minor in Linguistics",,bachelor of arts ba major in english minor in linguistics,other
bachelor,bachelor,"Bachelor of Arts (B.A.), Marketing",marketing,bachelor of arts ba marketing,marketing
bachelor,bachelor,"Bachelor of Arts (B.A.), Mass Communication/Media Studies",media studies,bachelor of arts ba mass communicationmedia studies,media studies
bachelor,bachelor,"Bachelor of Arts (B.A.), Philosophy and English",,bachelor of arts ba philosophy and english,philosophy
bachelor,Bachelor,"Bachelor of Arts (B.A.), Psychology",Psychology,bachelor of arts ba psychology,psychology
bachelor,bachelor,"Bachelor of Arts (B.A.), Visual Communications Design",,bachelor of arts ba visual communications design,visual communication
bachelor,bachelor,"Bachelor of Arts (BA) Honours, Psychology",psychology,bachelor of arts ba honours psychology,psychology
bachelor,bachelor,"Bachelor of Arts (BA), Anthropology",anthropology,bachelor of arts ba anthropology,anthropology
bachelor,bachelor,"Bachelor of Arts (BA), Contemporary Music Studies",,bachelor of arts ba contemporary music studies,other
bachelor,bachelor,"Bachelor of Arts (BA), Economics",economics,bachelor of arts ba economics,economics
bachelor,bachelor,"Bachelor of Arts (BA), English Language and Literature, General",,bachelor of arts ba english language and literature general,literature
bachelor,bachelor,"Bachelor of Arts (BA), Fiction Writing, Creative Nonfiction, Research, Photography",,bachelor of arts ba fiction writing creative nonfiction research photography,creative nonfiction
bachelor,bachelor,"Bachelor of Arts (BA), Graphic Communications",,bachelor of arts ba graphic communications,other
bachelor,bachelor,"Bachelor of Arts (BA), Ho Chi Minh City University of Technology - School of Industrial Management",,bachelor of arts ba ho chi minh city university of technology school of industrial management,management
bachelor,bachelor,"Bachelor of Arts (BA), Politics and International Relations",,bachelor of arts ba politics and international relations,international relations
bachelor,bachelor,"Bachelor of Arts (BA), Psychology, Communications and New Media",,bachelor of arts ba psychology communications and new media,psychology
bachelor,bachelor,"Bachelor of Arts (BA), Sociology",sociology,bachelor of arts ba sociology,sociology
bachelor,bachelor,"Bachelor of Arts (Honors) in Industrial Design, Industrial Design",,bachelor of arts honors in industrial design industrial design,industrial
bachelor,bachelor,"Bachelor of Arts (Honours), Arts & Social Sciences",,bachelor of arts honours arts social sciences,other
bachelor,bachelor,"Bachelor of Arts (Hons, Second Upper), English Language",,bachelor of arts hons second upper english language,other
bachelor,bachelor,"Bachelor of Arts (Hons), English Language and Literature, General",,bachelor of arts hons english language and literature general,literature
bachelor,bachelor,"BACHELOR OF ARTS (HONS), JOURNALISM AND MASS COMMUNICATION",,bachelor of arts hons journalism and mass communication,journalism
bachelor,bachelor,"Bachelor of Arts & Bachelor of Education, Drama and English",,bachelor of arts bachelor of education drama and english,education
bachelor,bachelor,"Bachelor of Arts & Social Sciences, Political Science, Philosophy, English Literature",english literature,bachelor of arts social sciences political science philosophy english literature,english literature
bachelor,bachelor,"Bachelor of Arts and Social Sciences (BA) Hons, Psychology",psychology,bachelor of arts and social sciences ba hons psychology,psychology
bachelor,bachelor,"Bachelor of Arts and Social Sciences, Communications and New Media",,bachelor of arts and social sciences communications and new media,other
bachelor,bachelor,"Bachelor of Arts and Social Sciences, English Language",,bachelor of arts and social sciences english language,other
bachelor,bachelor,Bachelor of Arts in Psychology with Business,,bachelor of arts in psychology with business,business
bachelor,bachelor,"Bachelor of Arts with Honours, International Marketing",,bachelor of arts with honours international marketing,marketing
bachelor,bachelor,"Bachelor of Arts with Merit, Political Science",political science,bachelor of arts with merit political science,political science
bachelor,bachelor,"Bachelor of Arts, Anthropology and Psychology",,bachelor of arts anthropology and psychology,psychology
bachelor,bachelor,"Bachelor of Arts, Communication and Media Management",,bachelor of arts communication and media management,management
bachelor,bachelor,"Bachelor of Arts, Cultural Studies",,bachelor of arts cultural studies,cultural studies
